n1;tipo_corrente;Ntab
50;25;0.05
50;35;0.16
50;40;0.37
50;41;0.2
50;50;0.72
50;60;1.24
50;80;2.88
50;100;5.52
50;120;9.33
50;140;14.4
50;160;20.9
50;180;28.9
50;200;38.4
50;240;61.8
100;25;0.09
100;35;0.29
100;40;0.69
100;41;0.38
100;50;1.34
100;60;2.31
100;80;5.38
100;100;10.3
100;120;17.4
100;140;26.9
100;160;39.1
100;180;54
100;200;71.6
100;240;115
150;25;0.13
150;35;0.41
150;40;0.99
150;41;0.55
150;50;1.92
150;60;3.32
150;80;7.75
150;100;14.8
150;120;25.1
150;140;38.8
150;160;56.3
150;180;77.7
150;200;103
150;240;166
200;25;0.16
200;35;0.54
200;40;1.29
200;41;0.71
200;50;2.5
200;60;4.3
200;80;10
200;100;19.2
200;120;32.5
200;140;50.3
200;160;72.9
200;180;101
200;200;134
200;240;215
300;25;0.23
300;35;0.78
300;40;1.85
300;41;1.02
300;50;3.61
300;60;6.2
300;80;14.5
300;100;27.7
300;120;46.8
300;140;72.4
300;160;105
300;180;145
300;200;193
300;240;310
400;25;0.3
400;35;1.01
400;40;2.4
400;41;1.32
400;50;4.67
400;60;8.03
400;80;18.7
400;100;35.9
400;120;60.6
400;140;93.8
400;160;136
400;180;188
400;200;249
400;240;359
500;25;0.37
500;35;1.24
500;40;2.93
500;41;1.61
500;50;5.71
500;60;9.81
500;80;22.9
500;100;43.9
500;120;74.1
500;140;115
500;160;166
500;180;204
500;200;222
600;25;0.44
600;35;1.46
600;40;3.45
600;41;1.9
600;50;6.72
600;60;11.6
600;80;27
600;100;51.7
600;120;87.3
600;140;127
600;160;141
600;180;155
600;200;169
700;25;0.5
700;35;1.68
700;40;3.97
700;41;2.18
700;50;7.73
700;60;13.3
700;80;31
700;100;59.4
700;120;89
700;140;101
700;160;112
700;180;123
800;25;0.56
800;35;1.89
800;40;4.48
800;41;2.46
800;50;8.71
800;60;15
800;80;35
800;100;63
800;120;72.8
800;140;82.4
800;160;91.7
800;180;101
900;25;0.62
900;35;2.1
900;40;4.98
900;41;2.74
900;50;9.69
900;60;16.7
900;80;39.9
900;100;52.8
900;120;61
900;140;69.1
900;160;76.8
900;180;84.4
1000;25;0.68
1000;35;2.31
1000;40;5.48
1000;41;3.01
1000;50;10.7
1000;60;18.3
1000;80;37.7
1000;100;45
1000;120;52.1
1000;140;59
1000;160;65.6
1000;180;72.1
1200;25;0.81
1200;35;2.73
1200;40;6.45
1200;41;3.29
1200;50;12.6
1200;60;21.6
1200;80;28.7
1200;100;34.3
1200;120;39.6
1200;140;44.9
1200;160;49.9
1400;25;0.93
1400;35;3.13
1400;40;7.41
1400;41;2.61
1400;50;14.4
1400;60;18.1
1400;80;22.7
1400;100;27.2
1400;120;31.5
1400;140;35.6
1600;25;1.05
1600;35;3.53
1600;40;8.36
1600;41;2.14
1600;50;12.8
1600;60;14.8
1600;80;18.6
1600;100;22.3
1600;120;25.8
1800;25;1.16
1800;35;3.93
1800;40;8.96
1800;41;1.79
1800;50;10.7
1800;60;12.4
1800;80;15.6
1800;100;18.7
1800;120;21.6
2000;25;1.27
2000;35;4.32
2000;40;7.72
2000;41;1.52
2000;50;9.23
2000;60;10.6
2000;80;13.3
2000;100;15.9
2000;120;0
2000;25;1.56
2000;35;5.28
2000;40;5.51
2000;41;1.1
2000;50;6.58
2000;60;7.57
2000;80;9.56
2000;100;0.4
3000;25;1.84
3000;35;5.64
3000;40;4.17
3000;41;0.83
3000;50;4.98
3000;60;5.76
3000;80;7.25
